Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS,DeviceTime,WriteTime,UTM,SpeedKPH,SpeedMPH,Battery
12.85706,77.59008,947,3.10,2023-11-26T01:52:54.000Z,gps,12.85706,77.59008,861,3.10,0.72,295.1,gps [GPS],00:00:00,0.0,0.0,,,,false,21 / 59,0,0.0,1,0.91,0.68,0.61,-,-,Hike,07:22:54 GMT+05:30,07:22:54.155,07:22:53.567,07:22:53.587,43 P 781118 1422743,2.60,1.61,82
12.85704,77.59009,939,2.21,2023-11-26T01:52:56.000Z,gps,12.85704,77.59010,853,2.70,0.59,321.96,gps [GPS],00:00:02,2.4,0.0,,,,false,22 / 59,2,2.4,1,0.92,0.69,0.62,-,-,Hike,07:22:56 GMT+05:30,07:22:56.151,07:22:55.562,07:22:55.571,43 P 781120 1422741,2.13,1.32,82
12.85704,77.59010,936,2.19,2023-11-26T01:52:57.000Z,gps,12.85704,77.59010,850,2.70,0.00,321.96,gps [GPS],00:00:01,0.9,0.0,,,,false,23 / 59,3,3.3,1,0.91,0.69,0.59,-,-,Hike,07:22:57 GMT+05:30,07:22:57.259,07:22:56.671,07:22:56.690,43 P 781120 1422740,0.00,0.00,82
12.85704,77.59011,934,2.07,2023-11-26T01:52:59.000Z,gps,12.85704,77.59012,849,2.50,0.42,34.74,gps [GPS],00:00:02,1.6,0.0,,,,false,23 / 59,5,4.9,1,0.89,0.68,0.58,-,-,Hike,07:22:59 GMT+05:30,07:22:59.145,07:22:58.557,07:22:58.569,43 P 781122 1422740,1.51,0.94,82
12.85704,77.59012,934,2.06,2023-11-26T01:53:00.000Z,gps,12.85704,77.59012,848,2.50,0.46,35.06,gps [GPS],00:00:01,0.6,0.0,,,,false,21 / 59,6,5.5,1,0.91,0.68,0.61,-,-,Hike,07:23:00 GMT+05:30,07:23:00.177,07:22:59.589,07:22:59.598,43 P 781122 1422740,1.66,1.03,82
12.85704,77.59012,933,2.06,2023-11-26T01:53:01.000Z,gps,12.85704,77.59013,848,2.50,0.00,35.06,gps [GPS],00:00:01,0.4,0.0,,,,false,22 / 59,7,5.9,1,0.91,0.68,0.60,-,-,Hike,07:23:01 GMT+05:30,07:23:01.185,07:23:00.597,07:23:00.608,43 P 781123 1422740,0.00,0.00,82
12.85703,77.59013,933,2.54,2023-11-26T01:53:02.000Z,gps,12.85704,77.59013,847,2.60,0.00,35.06,gps [GPS],00:00:01,0.7,0.0,,,,false,23 / 59,8,6.6,1,0.89,0.68,0.58,-,-,Hike,07:23:02 GMT+05:30,07:23:02.205,07:23:01.617,07:23:01.655,43 P 781123 1422740,0.00,0.00,82
12.85704,77.59014,931,1.49,2023-11-26T01:53:04.000Z,gps,12.85704,77.59015,845,2.60,0.49,47.44,gps [GPS],00:00:02,1.1,0.0,,,,false,20 / 59,10,7.7,1,0.97,0.72,0.64,-,-,Hike,07:23:04 GMT+05:30,07:23:04.169,07:23:03.581,07:23:03.599,43 P 781124 1422740,1.75,1.09,82
12.85704,77.59014,931,1.29,2023-11-26T01:53:05.000Z,gps,12.85704,77.59014,845,2.60,0.00,47.44,gps [GPS],00:00:01,0.2,0.0,,,,false,20 / 59,11,7.9,1,0.97,0.72,0.64,-,-,Hike,07:23:05 GMT+05:30,07:23:05.170,07:23:04.582,07:23:04.600,43 P 781125 1422740,0.00,0.00,82
12.85703,77.59014,936,6.13,2023-11-27T01:53:06.070Z,fused,12.85699,77.59013,850,12.53,0.06,0.0,fused [Fusion],00:00:01,1.3,0.0,,,,false,20 / 59,12,9.2,1,0.95,0.71,0.64,-,-,Hike,07:23:06 GMT+05:30,07:23:06.913,07:23:06.325,07:23:06.348,43 P 781124 1422739,0.22,0.14,82
12.85703,77.59013,929,1.79,2023-11-26T01:53:08.000Z,gps,12.85704,77.59013,843,2.70,0.65,252.28,gps [GPS],-23:-1439:-86398,0.9,0.0,,,,false,20 / 59,14,10.1,1,0.95,0.71,0.63,-,-,Hike,07:23:08 GMT+05:30,07:23:08.174,07:23:07.586,07:23:07.596,43 P 781124 1422740,2.35,1.46,82
